time,temperature_avg,temperature_min,temperature_max,relative_humidity,sunshine_duration,wind_velocity,precipitation,solar_radiation,evaporation
2020-03-18,26.025,22,32.3,90.568,1.3,0.721,121.7,582.4,0
2020-03-19,25.075,22.6,30.6,87.042,3,0.554,0,164.32,2.64
2020-03-20,24.95,21.6,31.2,87.566,3,0.707,87.9,470.08,0
2020-03-21,25.9,21.7,31.6,84.180,6.2,0.695,10,440.96,2.99
2020-03-22,26.45,23,30.4,88.262,2.4,0.817,19.5,544.96,5.14
2020-03-23,25.575,23.2,30.6,88.255,2.3,0.622,24.2,316.16,3.8
2020-03-24,25.55,22.8,32.1,89.261,6,0.580,0,336.96,3.75
2020-03-25,25.775,22.6,32.4,89.032,6.2,0.538,53.7,657.28,0
2020-03-26,25.7,24,29.4,94.638,0.3,1.005,8.2,740.48,6.84
2020-03-27,25.825,23,31.3,89.028,4.7,0.571,43.6,76.96,6.51
2020-03-28,26.85,22.7,32.2,84.206,6.7,0.430,52.4,438.88,0
2020-03-29,26.5,24,32.7,87.339,5.1,0.651,0,609.44,4.85
2020-03-30,26.05,23,31.8,86.198,3.9,0.608,9,436.8,2.95
2020-03-31,26.375,23.2,32.9,85.044,5.5,0.592,1.1,432.64,3.43
2020-04-01,26.9,23,32.2,83.244,6.6,0.655,21.7,607.36,5.8
2020-04-02,27.35,23,32.6,80.344,6.8,0.670,0,565.76,4.75
2020-04-03,26.725,22.8,31.9,80.124,7.5,0.709,0,657.28,3.89
2020-04-04,26.725,23.4,33.2,83.850,6.5,0.398,0,497.12,3.29
2020-04-05,25.95,23.2,32.6,88.479,3.6,0.813,40.2,659,5.36
2020-04-06,25.075,23,31.5,88.739,4.1,0.551,5.4,422.24,3.32
2020-04-07,26.8,22.8,31.6,84.231,6.4,0.549,59.4,399.36,10.56
2020-04-08,26.575,22.8,31.3,82.928,6.5,0.545,0,661.44,2.57
2020-04-09,27.45,25,31.2,84.369,2.6,0.518,0,736.32,4.98
2020-04-10,26.35,23.1,32.8,86.389,5.5,0.542,0,170.56,1.92
2020-04-11,27.25,23.4,33.6,85.065,4.9,0.636,13.3,563.68,5
2020-04-12,27.15,23.6,33.2,83.711,6.7,0.497,11,624,5.48
2020-04-13,27.125,23.6,32.1,81.672,5.5,0.699,0,640.64,3.63
2020-04-14,26.625,23,31.9,84.998,5.8,0.756,0,684.32,4.17
2020-04-15,26.6,24.5,32,85.286,4.8,0.626,0.2,472.16,3.66
2020-04-16,26.575,23.6,32.6,85.641,7.1,0.941,80.3,524.16,0
2020-04-17,25.75,23,32.6,87.435,8,0.710,38.7,534.56,3.97
2020-04-18,25.85,21.8,32.9,85.451,7,0.762,112,705.12,0
2020-04-19,26.95,22.8,33.2,82.428,7.1,0.786,15.2,744.64,7.53
2020-04-20,28.25,24.6,33.2,81.400,7.4,0.585,10.5,601.12,4.04
2020-04-21,27.5,24.8,30.3,83.247,1,0.680,4.7,509.6,4.59
2020-04-22,27.375,22.4,33.2,77.111,7.2,0.458,0,160.16,2.16
2020-04-23,27.825,24.5,33.3,81.632,7.8,0.815,1.4,642.72,3.76
2020-04-24,26.85,24.2,32.4,84.124,4.7,0.966,0,590.72,5.94
2020-04-25,26.2,21.3,32,79.646,4.1,0.661,2,376.48,2.34
2020-04-26,26.45,23.6,32.4,85.298,5.3,0.536,0,307.84,4.68
2020-04-27,26.275,24.2,31,89.437,2.3,0.573,21.4,353.6,4.5
2020-04-28,25.325,22.9,31,89.643,1.5,0.484,12.5,322.4,3.31
2020-04-29,25.975,22.6,32.3,85.061,5.9,0.529,55.2,436.8,0
2020-04-30,26.2,24.5,30.2,88.981,1.6,0.534,0,746.72,5.42
2020-05-01,25.25,23.2,30.7,91.852,0,0.495,25.8,135.2,5.68
2020-05-02,25.4,22.4,29.2,87.542,0.7,0.618,108,79.04,0
2020-05-03,26.125,23.4,31.6,87.973,3,0.562,0.8,74.88,2.2
2020-05-04,25.875,23.2,29.6,88.958,0,0.588,0.6,355.68,2.46
