time,temperature_avg,temperature_min,temperature_max,relative_humidity,sunshine_duration,wind_velocity,precipitation,solar_radiation,evaporation
2019-01-01,24.95,22.5,30.4,87.951,1.9,0.777,9.3,133,3.4
2019-01-02,26,23.6,32.1,83.920,5.8,0.742,1.9,257.92,2.8
2019-01-03,26.75,22.4,32.2,75.144,2.2,0.848,2,709.28,4.06
2019-01-04,26.625,21.3,32.8,75.417,0.4,0.827,0,676,4.9
2019-01-05,26.65,22.4,33.2,74.882,7.2,0.589,0,784.16,5.7
2019-01-06,27.475,23.2,32.8,77.684,5.8,2.079,0,850.72,3.3
2019-01-07,27.5,24,32.8,80.939,6.1,0.500,0,574.08,3
2019-01-08,26.4,23.6,32.1,83.597,4.5,0.881,13.3,520,5.1
2019-01-09,26.05,23.1,30.7,85.605,2.2,0.604,4.8,553.28,4.47
2019-01-10,26.35,23,31.2,85.957,3.7,0.611,23.1,559.52,8.6
2019-01-11,26.4,23,32.5,82.897,4.9,0.568,0,644.8,3.8
2019-01-12,26.125,23.1,32.3,87.199,8,0.597,1.9,651.04,6.72
2019-01-13,25.2,23.4,31.1,90.607,8,0.520,12.4,440.96,4.8
2019-01-14,25.15,22.8,30.2,89.188,4.4,0.602,34.4,326.56,5.9
2019-01-15,26.45,23.1,33.2,82.555,3.1,0.389,0,120.64,3.11
2019-01-16,26.05,23.8,29,84.529,5.4,0.607,0,445.12,5.69
2019-01-17,25.625,24.2,29.3,85.274,7.6,0.452,0.7,35.36,1.5
2019-01-18,25.975,23.8,29.8,82.036,4.6,0.952,9.5,166.4,10.3
2019-01-19,24.94,22.6,27.8,91.335,5.4,0.775,0,62.4,2.2
2019-01-20,25.625,23.4,30.6,88.506,7.4,0.392,4.2,41.6,2.6
2019-01-21,24.65,23.2,27.8,92.546,6.4,0.513,9.3,245.44,3.52
2019-01-22,24.225,22.7,27.4,93.558,0.6,0.459,20.9,210.08,3.5
2019-01-23,25.475,22.8,30,89.514,1,0.436,24.6,31.2,2
2019-01-24,24.725,23.4,29.4,94.554,2.7,0.470,32.4,272.48,0
2019-01-25,24.7,22.3,29.1,89.481,0.4,0.552,39.8,143.52,9.7
2019-01-26,25.925,23,31.2,86.027,0,0.548,5.7,81.12,2.79
2019-01-27,25.3,23.4,31.2,89.132,3.2,0.322,0.7,326.56,4.13
2019-01-28,26.125,22.4,29.2,87.863,6,0.372,18.1,235.04,3.6
2019-01-29,26.3,23.4,29.8,85.582,3.4,0.382,1.9,114.4,2.87
2019-01-30,25.55,23.4,30,90.023,7.3,0.381,20.8,318.24,3.1
2019-01-31,23.7,20.5,29.2,89.116,1.4,0.643,17.5,241.28,6.3
2019-02-01,25.05,21.2,30.7,84.960,3.6,0.922,9.1,226.72,2.83
2019-02-02,25.275,21.4,31.4,84.496,4.5,0.426,0.3,355.68,3.05
2019-02-03,26.175,23.4,31.6,85.083,4.8,0.496,20.5,651.04,4.97
2019-02-04,25.425,22.5,32.1,85.273,4.7,0.602,3.1,468,4.4
2019-02-05,25.65,22.4,31,86.197,4.7,0.597,8.2,636.48,4.8
2019-02-06,25.525,22.4,31,85.266,4.1,0.455,0,393.12,2.9
2019-02-07,26,22.4,31,83.863,3.3,0.481,5.2,374.4,2.11
2019-02-08,25.625,22.2,32.3,84.018,6.2,0.533,0.3,428.48,3.32
2019-02-09,25.525,22.6,32.6,85.499,7.4,0.648,6.4,834.08,4.29
2019-02-10,25.6,22.4,32.4,85.049,6.7,0.587,5.3,459.68,5.46
2019-02-11,25.2,23.2,31.2,89.592,3.3,0.580,4.1,632.32,3.3
2019-02-12,25.675,22.3,31.8,83.497,4.7,0.390,3.2,384.8,3.1
2019-02-13,26.6,24.2,30.4,86.056,2.7,0.445,0,478.4,4.58
2019-02-14,26.375,22.4,31.6,81.494,8,0.445,0,384.8,2.94
2019-02-15,26.7,24.2,31.2,84.124,3.1,0.662,5.7,690.56,4.43
2019-02-16,25.825,22.9,32,88.621,4.6,0.665,55.5,299.52,0
2019-02-17,26.05,23.2,31.4,83.635,5.3,0.536,5,636.48,3.21
2019-02-18,26.425,23.6,31.6,81.571,4.1,0.582,0,823.68,4.1
2019-02-19,25.875,23,33.1,85.390,5.8,0.535,6.9,476.32,3.7
2019-02-20,25.475,23.4,31.2,89.496,1.7,0.583,9.5,646.88,5.4
2019-02-21,25.8,23.2,32,87.487,5.7,0.420,0.1,648.96,2.02
2019-02-22,25.95,23,31.2,88.922,5.3,0.721,2.4,551.2,0
2019-02-23,24.9,21.6,32.6,86.402,6.5,0.677,19.5,611.52,4.69
2019-02-24,26,22.6,31.5,86.651,4.2,0.599,39.2,784.16,10
2019-02-25,25.775,23.4,33,88.056,7.3,0.464,15.4,284.96,4.91
2019-02-26,27.375,23.5,32.4,81.338,7.6,0.683,68.3,788.32,0
2019-02-27,27.85,24.3,33,77.518,6.5,1.318,0,823.68,5.9
2019-02-28,25.675,24,32.4,89.802,5,1.013,3.5,648.96,5.6
2019-03-01,25.2,22.8,30,93.498,1.9,0.828,41.3,341.12,8.53
2019-03-02,26.475,23,31.1,86.051,5.8,0.513,17,141.44,5.2
2019-03-03,25.55,23.4,30.4,87.320,2.2,0.466,0,247.52,3.06
2019-03-04,26.45,22.2,31.9,81.708,0.4,0.624,4.9,538.72,3.3
2019-03-05,26.1,23.3,30.6,87.898,7.2,0.648,38.5,461.76,3.3
2019-03-06,23.125,22.7,28.5,94.399,5.8,2.910,21.7,343.2,0
2019-03-07,25.7,22.4,30,84.615,6.1,0.504,17.8,45.76,0.3
2019-03-08,25.95,23.1,32.8,83.364,4.5,0.316,0,255.84,2.3
2019-03-09,26,23,33.2,81.831,2.2,0.662,6.9,592.8,5.4
2019-03-10,26.025,22.4,30.9,84.327,3.7,0.537,2.9,590.72,4.1
2019-03-11,24.925,23,29.4,88.543,4.9,0.532,0.5,212.16,3.1
2019-03-12,25.2,23,29,88.747,8,0.614,7.4,120.64,3.8
2019-03-13,26.525,22.4,31.8,81.876,3.8,0.479,10.2,174.72,2.6
2019-03-14,26.575,22.4,32.2,81.350,4,0.420,1.4,557.44,5.8
2019-03-15,26.05,22.2,32.6,81.019,5.9,0.378,0,515.84,4.1
2019-03-16,26.125,22.6,30.7,81.723,1.6,0.824,1.5,609.44,3.4
2019-03-17,26.2,22.9,31.6,78.369,3,0.515,0,542.88,2.6
2019-03-18,26.35,22.7,32.1,82.466,3.5,0.975,0,353.6,3.8
2019-03-19,25.6,23.4,28.8,87.916,1.4,0.740,1.1,388.96,3.7
2019-03-20,26.25,23,32.6,84.077,5.7,0.419,1.7,112.32,1.8
2019-03-21,25.975,22.4,31.8,82.977,4.5,0.735,0,676,2.5
2019-03-22,26.475,23,31.9,84.076,5.5,0.539,0.3,482.56,2.4
2019-03-23,26.175,23.2,32.4,82.749,4.6,0.628,0.1,532.48,3.6
2019-03-24,27.05,23.4,31.8,78.100,3.7,0.697,0,472.16,4.22
2019-03-25,26.05,23.2,32,83.397,3.7,0.597,0,520,3.8
2019-03-26,26.025,22.4,33.6,82.997,6,0.484,0,395.2,4.5
2019-03-27,26.775,24,33.5,86.935,4.9,0.642,16.5,784.16,5.3
2019-03-28,25.475,24.1,31.9,91.362,3.5,0.626,5.2,553.28,3.9
2019-03-29,25.45,22.3,34.2,84.164,4.9,0.466,33.5,638.56,2.4
2019-03-30,26.475,22.5,33.4,81.907,5.9,0.595,29.4,744.64,3.5
2019-03-31,26.325,23.2,32.8,83.248,4.9,0.503,0,767.52,4.1
2019-04-01,26.15,23,32.7,83.420,5.9,0.380,0,549.12,5.9
2019-04-02,26.225,22.8,32.6,82.861,4.4,0.851,0,657.28,3.2
2019-04-03,25.325,22,32.5,85.872,5.4,0.495,1.4,807.04,2.94
2019-04-04,26.4,22.3,33.4,85.538,6.7,0.703,111,569.92,0
2019-04-05,26.35,23.1,31.2,83.408,4.5,0.693,12.8,707.2,5.4
2019-04-06,26.25,23,32.6,84.651,5.3,8.034,0,307.84,4.3
2019-04-07,26.225,22.2,33.4,83.405,5.5,0.607,3.2,572,3.74
2019-04-08,26.8,24,33.3,87.302,6.5,0.636,6.4,632.32,5
2019-04-09,26.75,23.6,33.4,83.196,7,0.528,4.5,734.24,3.2
2019-04-10,27.95,23.5,34.1,80.465,7.8,0.500,1.3,832,4.3
2019-04-11,27.725,23.6,33,79.580,6.4,0.422,0,817.44,6
2019-04-12,26.65,23,32.8,83.071,5.9,0.606,0,644.8,2.8
2019-04-13,27.425,24,33.6,80.026,7.8,0.453,0,472.16,5.1
2019-04-14,27.225,23.1,32.9,77.404,7.9,1.050,8.4,813.28,5.5
2019-04-15,26.2,24.4,32.4,89.630,4.1,0.480,46.3,834.08,10.1
2019-04-16,24.7,22.4,32.2,89.686,6.8,0.711,36.8,388.96,2
2019-04-17,26.75,22.6,32.8,84.205,6.5,0.707,2.8,490.88,3.5
2019-04-18,26.95,25,33,84.914,4.7,0.410,0,596.96,3.8
2019-04-19,26.7,24,31.4,85.750,4.1,0.767,12.9,413.92,6
2019-04-20,25.875,22.2,30.4,88.237,0.2,0.794,17.4,320.32,3.2
2019-04-21,27.6,24.4,32.6,83.252,5.3,0.283,0,83.2,0.9
2019-04-22,27.025,23,32.8,79.168,5.3,0.884,0,576.16,0
2019-04-23,27.2,23.1,33,78.936,6.8,0.647,0,418.08,3.1
2019-04-24,25.075,24.2,30.4,92.236,0.3,1.110,3.4,561.6,5.1
2019-04-25,26.1,22.2,33.2,84.402,6.2,0.419,5.4,83.2,2.5
2019-04-26,25.875,23.2,32.6,87.486,6.3,0.878,134.2,594.88,0
2019-04-27,25.25,23,30.8,92.906,4,0.447,99,549.12,0
2019-04-28,26.425,22.1,31.8,87.269,6.8,0.508,115.9,293.28,0
2019-04-29,26.875,23.2,32,87.332,3.8,0.545,1,515.84,3.5
2019-04-30,26.625,24.4,31.8,89.708,3.4,0.585,46.7,397.28,7.5
2019-05-01,27.15,24.2,31.4,82.514,2.4,0.482,8.8,388.96,4.9
2019-05-02,27.25,23.2,32.6,80.662,7.1,0.483,0,264.16,3.4
2019-05-03,26.4,23.6,33.5,85.533,5.7,0.689,0,563.68,4.18
2019-05-04,26.55,23.4,33,87.146,5.8,0.580,56.6,644.8,3.1
2019-05-05,26.175,23.6,33.1,86.435,6.5,0.665,10.8,549,4.6
2019-05-06,26.35,23.2,31.6,83.920,6.8,1.140,13.6,632.32,5.3
2019-05-07,27.675,24,33.3,80.785,6.9,0.613,0.6,472.16,3.8
2019-05-08,26.85,24.2,33,81.982,5.2,0.562,0,811.2,4.7
2019-05-09,25.925,23.2,32.5,88.072,5,0.511,1.4,376.48,3
2019-05-10,26.725,24.2,32.2,85.470,4.8,0.555,46.3,440.96,3.8
2019-05-11,27.55,23.8,32.6,84.831,6.6,0.706,78.7,461.76,0
2019-05-12,26.125,24,32.2,87.199,4.1,0.638,4.5,651.04,3.4
2019-05-13,27.3,23.2,32,81.278,6,0.572,1.2,397.28,4
2019-05-14,27.1,23.2,32.8,81.472,7.7,0.474,10,692.64,4.2
2019-05-15,26.225,23.4,32.8,84.589,5.8,0.796,0,482.56,5.5
2019-05-16,26.95,23.4,32.1,85.485,6.8,0.725,67.9,463.84,0
2019-05-17,26.575,22.2,32.6,82.220,7.2,0.526,0,580.32,4.3
2019-05-18,26.8,22.2,32.4,77.042,7.5,0.472,0,547.04,5.08
2019-05-19,27.25,22.2,32.9,77.078,6.6,0.461,0,576.16,2.17
2019-05-20,27.3,23.8,33.6,79.300,7.6,0.397,0,819.52,4.1
2019-05-21,27.6,23.5,33.1,79.393,7.2,0.519,0,578.24,4.5
2019-05-22,27.25,23.4,32.8,78.632,6.4,0.594,0,470.08,4.1
2019-05-23,27.375,23.1,33.7,77.466,8,0.750,0,413.92,4.7
2019-05-24,27.7,23.4,33,70.818,8,0.705,0,617.76,5.03
2019-05-25,27.05,22.4,33.2,76.886,7.4,1.029,0,640.64,4.73
2019-05-26,27.25,23,33.4,76.304,6.9,0.593,0,780,3.3
2019-05-27,27.85,24,33.5,75.429,7,0.567,0,488.8,4.2
2019-05-28,27.75,23.4,33,76.531,8,0.633,0,513.76,4.3
2019-05-29,27.375,23,33.6,78.211,7.1,0.947,0,607.36,6.1
2019-05-30,27.175,23,33.3,80.981,6.1,0.855,58,447.2,0
2019-05-31,27.675,22.8,33.8,76.641,7.7,0.562,0,505.44,3.1
2019-06-01,25.775,23,33,83.015,7.8,0.540,0,605.28,4.5
2019-06-02,26.175,23,32.6,84.340,6.5,0.669,18.2,542.88,5.1
2019-06-03,25.825,22.2,32.4,83.283,1.6,0.571,34.8,488.8,10.4
2019-06-04,26.525,22,32.3,76.707,7.9,0.347,0,216.32,2.8
2019-06-05,27.65,22.2,33.9,76.042,8,0.588,0,432.64,3.5
2019-06-06,27.35,23,33.4,78.115,7.9,5.016,1.4,673.92,3.9
2019-06-07,26.95,24.2,32.6,83.397,5.3,0.622,0,559.52,4.1
2019-06-08,26.5,22.2,32,80.780,7.2,0.733,17.1,416,3.87
2019-06-09,26.9,22.8,32.7,79.128,8,0.427,0,432.64,4.25
2019-06-10,26.475,21.6,32.8,79.595,7.8,0.483,0.3,574.08,4.2
2019-06-11,26.125,22.4,33.7,81.710,7.9,0.518,11.2,584.48,3.1
2019-06-12,26.95,23,33,79.242,8,0.575,0,813.28,5.6
2019-06-13,27.55,23.4,33.3,80.788,7,0.517,0,544.96,3.4
2019-06-14,26.75,23.5,32,82.895,4.2,0.431,0,484.64,4.3
2019-06-15,27.15,23.1,33.3,82.908,8,0.480,3,307.84,2.6
2019-06-16,26.425,24,32.6,87.120,5.6,0.491,2.8,499.2,4.24
2019-06-17,26.65,22.3,32.3,78.333,7.8,0.469,14.8,386.88,3
2019-06-18,25.725,20.8,32,75.886,8,0.512,0,676,4.5
2019-06-19,25.75,20.2,33,76.159,7.8,0.903,0,565.76,5.7
2019-06-20,26.5,22,33,77.176,8,0.492,0,624,6
2019-06-21,26.1,21.5,32.1,77.651,7.7,0.351,0,553.28,2.8
2019-06-22,25.8,21.2,31.8,78.906,7.3,0.302,0,480.48,3.1
2019-06-23,26.1,20.5,32.1,76.291,7,0.361,0.3,501.28,2.9
2019-06-24,26.2,21.4,32.2,75.617,7.3,0.426,0,669.76,4.6
2019-06-25,26.05,21,32.8,72.783,8,0.428,0,349.44,2.8
2019-06-26,25.925,20.8,32,76.319,7.8,0.678,0,538.72,4.8
2019-06-27,25.05,20.4,33.6,76.796,8,0.758,0,426.4,3.3
2019-06-28,26.075,21.1,32.6,78.877,8,0.510,33.6,615.68,7.8
2019-06-29,26.05,20.2,32.3,75.692,8,0.492,0,723.84,5.6
2019-06-30,26.35,22.8,32.2,76.484,8,0.375,0,686.4,2.7
2019-07-01,25.65,20,32.7,72.587,7.8,0.398,0.3,522.08,3.6
2019-07-02,26.05,21.6,32.2,74.376,6.9,0.465,0,784.16,4.5
2019-07-03,26.475,21.7,33.3,76.600,8,0.572,0,397.28,3.7
2019-07-04,26,23.4,32,82.703,5.7,0.421,0,730.08,3.2
2019-07-05,26.05,22.4,31.5,79.989,4.1,0.484,7.3,334.88,3.4
2019-07-06,26.75,22.2,31.8,79.499,7,1.476,0.3,413.92,1.9
2019-07-07,26.825,23,32,77.238,7.3,0.859,0,412,4.5
2019-07-08,25.65,23.2,31.6,80.562,6.3,0.844,0,403.52,3.8
2019-07-09,25.2,21.2,31.2,84.665,6.3,0.585,35.4,407.68,6.5
2019-07-10,25.35,21.8,30.6,79.003,4.5,0.558,7.4,453.44,4.9
2019-07-11,25.55,20.7,31.8,74.415,7.5,0.507,0,322.4,2.4
2019-07-12,25.275,20,32.3,76.848,8,0.413,0,553.28,5.2
2019-07-13,26,21,32,71.286,8,0.932,0,561.6,3.07
2019-07-14,25.35,21.2,31,77.686,5.5,0.347,0,582.4,3.73
2019-07-15,25.075,20.8,31.4,72.779,4.9,0.455,0,368.16,3.68
2019-07-16,25.325,20.2,32,69.894,8,0.472,0,253.76,4.2
2019-07-17,24.875,19.2,31.8,72.045,7.8,0.346,0,646.88,3
2019-07-18,25.3,19.3,31.2,69.086,7.8,0.601,0,540.8,4.9
2019-07-19,25.55,20.4,30.8,74.068,3.3,0.847,0,553.28,5
2019-07-20,27.175,23.4,32.6,78.196,4.6,0.729,0.1,488.8,1.9
2019-07-21,27.35,22.6,33.6,75.156,7.3,0.542,0,636.48,3.8
2019-07-22,26.9,23,33,80.331,7.2,0.433,0,463.84,3.7
2019-07-23,26.4,21.8,32.2,73.601,8,0.435,0,465.92,3.4
2019-07-24,25.75,21,33.6,74.585,7.7,0.932,0,509.6,4.6
2019-07-25,25.85,21.2,33.2,70.158,6.7,0.565,0,517.92,3.2
2019-07-26,25.65,21,32.4,73.560,7.9,0.535,0,780,5.1
2019-07-27,25.5,21,31.8,74.986,6.7,0.632,0,488.8,4.6
2019-07-28,26.025,21.2,33.7,76.874,7.6,0.452,0,332.8,4.1
2019-07-29,26.725,21.4,32.5,72.794,7.8,0.580,0,607.36,4.62
2019-07-30,26.3,22.4,32.4,71.944,7.8,0.580,0,509.6,3.9
2019-07-31,26.35,21.1,33.2,68.193,7.8,0.628,0,449.28,3.7
2019-08-01,25.95,21.6,33,65.868,7.5,0.733,0,850.72,4.3
2019-08-02,26.1,21.6,32.7,71.545,6.9,0.664,0,474.24,4.2
2019-08-03,25.8,21.2,32.6,74.121,7.2,0.578,0,426.4,3.53
2019-08-04,25.375,20.6,33.2,69.295,7.8,0.714,0,486.72,4.7
2019-08-05,24.65,19.4,32.6,70.015,7.7,0.681,0,603.2,4.1
2019-08-06,24.05,18.2,31.6,66.046,7.8,0.663,0,636.48,4.9
2019-08-07,25.05,19.3,32,69.250,7.6,0.618,0,609.44,4.7
2019-08-08,25.275,19.5,32.6,65.921,7,0.551,0,836.16,5.5
2019-08-09,25.625,21,32.1,73.643,5.8,0.660,0,596.96,5
2019-08-10,25.375,20.2,33.2,71.288,8,0.606,0,465.92,3.2
2019-08-11,25.9,21,33.4,72.625,8,0.671,0,655.2,4.8
2019-08-12,25.625,20.4,32.3,72.796,6.5,0.744,0,638.56,3.5
2019-08-13,25.825,20.4,33,73.238,7.6,0.709,0,748.8,4.6
2019-08-14,26.8,22.8,32.6,74.335,8,0.892,0,823.68,5.25
2019-08-15,25.6,22.2,32.8,81.705,5,0.660,0,509.6,5.75
2019-08-16,25.875,21,32.4,81.210,6.7,0.569,29.6,434.72,0
2019-08-17,26,21.4,32.4,77.578,7.1,0.661,52.3,474.24,0
2019-08-18,26.125,21.2,32.8,68.299,6.8,0.499,0,542.88,2.7
2019-08-19,25.725,20.1,33.8,70.691,8,0.709,0,800.8,5.24
2019-08-20,25.675,20.8,32.4,71.702,7.2,0.779,0,574.08,5.12
2019-08-21,26.125,20.7,33.3,71.423,3.8,0.646,0,474.24,4.89
2019-08-22,25.625,22.8,32.7,79.601,6.3,1.343,0,680.16,2
2019-08-23,25.75,20.8,32.1,78.507,7.1,0.550,18.9,576.16,4.7
2019-08-24,25.325,21,32.4,78.008,7.07,0.663,0,561.6,5.97
2019-08-25,25.825,20.8,32.4,74.815,7.2,0.666,0,567.84,4.9
2019-08-26,26.1,22.3,31.8,76.568,3.8,0.675,0,580.32,4.91
2019-08-27,25.65,22,32.6,80.843,7.3,0.567,13.5,336.96,4.87
2019-08-28,26,23.7,32,87.220,3.9,0.572,1.8,628.16,4.8
2019-08-29,26.25,21.8,32.4,79.502,7.8,0.570,54.2,378.56,0
2019-08-30,26.225,21.8,33,69.929,8,0.682,0,584.48,2.6
2019-08-31,24.875,19.8,32.4,74.983,7.9,0.573,0,821.6,4.7
2019-09-01,26.125,20.3,33.2,73.763,8,0.662,0,815.36,6.2
2019-09-02,26.025,21.2,32.7,77.938,6.2,0.574,0,636.48,3.97
2019-09-03,27.325,22.1,34,72.688,6.5,0.552,0,572,3.59
2019-09-04,25.4,22.6,32.8,81.075,7.2,0.506,0,551.2,5.42
2019-09-05,25.625,21.2,31.8,80.943,7.3,0.655,28,676,9.09
2019-09-06,25.075,19.8,32.2,74.462,7.9,0.738,0.3,586.56,4.76
2019-09-07,25.825,20.2,32.2,75.585,7.5,0.425,0,846.56,4.95
2019-09-08,26.5,21.6,32.4,69.258,7.3,0.444,0,572,3.76
2019-09-09,26.45,21.6,33.4,72.379,8,0.569,0,590.72,4.51
2019-09-10,28.05,22.3,35,62.189,8,0.534,0,686.4,2.48
2019-09-11,26.325,19.7,34.5,61.193,8,0.806,0,844.48,7.97
2019-09-12,24.025,18.8,32.9,75.567,7.5,0.998,0,711.36,6.79
2019-09-13,25.1,20.8,31.6,69.189,6.5,0.774,4.5,703.04,4.83
2019-09-14,24.725,19,32,69.477,7.6,0.556,0,572,5.36
2019-09-15,25.1,20.1,32.2,69.258,6.4,0.489,0,709.28,3.75
2019-09-16,26.9,22.6,33.1,74.273,7.5,0.587,0,823.68,4.27
2019-09-17,26.725,22,33.3,76.176,7.9,0.920,0,611.52,5.49
2019-09-18,25.825,22,34.8,79.866,7.6,0.751,0,395.2,4.58
2019-09-19,26.95,23,33,74.723,6,0.698,21.2,696.8,4.3
2019-09-20,26.325,22,32.8,65.946,6.9,0.484,0,538.72,7.89
2019-09-21,26.525,21.6,33.3,69.207,8,0.633,0,744.64,5.45
2019-09-22,26.65,21.6,33.6,70.608,7.9,0.707,0,796.64,6.01
2019-09-23,26.525,21.1,33.4,72.233,8,0.477,0,619.84,5.13
2019-09-24,28.15,22.2,34.4,67.415,8,1.103,0,561.6,6.35
2019-09-25,25.5,22.3,33.6,80.463,7.1,0.901,0,646.88,5.02
2019-09-26,26.2,22,34.5,79.546,5.8,0.621,0,792.48,4.54
2019-09-27,26.85,22.1,33.7,71.964,7.7,0.640,5.1,594.88,3.89
2019-09-28,26.275,22.4,34,79.950,7.5,0.598,0,829.92,5.9
2019-09-29,25.45,21.4,32.6,84.296,6,0.634,13.9,663.52,5.68
2019-09-30,26.575,22.2,33.1,77.442,6.2,0.543,78.6,511.68,0
2019-10-01,25.8,19.6,33.3,78.707,6.7,0.625,0,755.04,6.53
